2019-09-27 18:45:46.982777|INFO    |ServerLibPriv |   |TeamSpeak 3 Server 3.9.1 (2019-07-02 13:17:23)
2019-09-27 18:45:46.983776|INFO    |ServerLibPriv |   |SystemInformation: Windows 10 (18362) x64 (AMD or Intel) Binary: 64bit
2019-09-27 18:45:46.983776|INFO    |ServerLibPriv |   |Using hardware aes
2019-09-27 18:45:47.010755|INFO    |DatabaseQuery |   |dbPlugin name:    SQLite3 plugin, Version 3, (c)TeamSpeak Systems GmbH
2019-09-27 18:45:47.011754|INFO    |DatabaseQuery |   |dbPlugin version: 3.11.1
2019-09-27 18:45:47.023745|INFO    |DatabaseQuery |   |checking database integrity (may take a while)
2019-09-27 18:45:47.239578|WARNING |Accounting    |   |Unable to open licensekey.dat, falling back to limited functionality
2019-09-27 18:45:47.259562|INFO    |Accounting    |   |Licensing Information
2019-09-27 18:45:47.259562|INFO    |Accounting    |   |licensed to       : Anonymous
2019-09-27 18:45:47.259562|INFO    |Accounting    |   |type              : No License
2019-09-27 18:45:47.259562|INFO    |Accounting    |   |starting date     : Tue Jan  1 00:00:00 2019
2019-09-27 18:45:47.259562|INFO    |Accounting    |   |ending date       : Fri Jan 31 00:00:00 2020
2019-09-27 18:45:47.259562|INFO    |Accounting    |   |max virtualservers: 1
2019-09-27 18:45:47.259562|INFO    |Accounting    |   |max slots         : 32
2019-09-27 18:45:47.295534|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2019-09-27 18:45:48.164857|INFO    |              |   |Puzzle precompute time: 802
2019-09-27 18:45:48.165856|INFO    |FileManager   |   |listening on 0.0.0.0:30033, [::]:30033
2019-09-27 18:45:48.236802|INFO    |Query         |   |listening for query on 0.0.0.0:10011, [::]:10011
2019-09-27 18:45:48.236802|INFO    |Query         |   |listening for query ssh on 0.0.0.0:10022, [::]:10022
2019-09-27 18:45:48.246794|INFO    |CIDRManager   |   |updated query_ip_whitelist ips: 127.0.0.1/32, ::1/128, 
