2019-10-10 17:43:09.315138|INFO    |ServerLibPriv |   |TeamSpeak 3 Server 3.9.1 (2019-07-02 13:17:23)
2019-10-10 17:43:09.355107|INFO    |ServerLibPriv |   |SystemInformation: Windows 10 (18362) x64 (AMD or Intel) Binary: 64bit
2019-10-10 17:43:09.355107|INFO    |ServerLibPriv |   |Using hardware aes
2019-10-10 17:43:09.382086|INFO    |DatabaseQuery |   |dbPlugin name:    SQLite3 plugin, Version 3, (c)TeamSpeak Systems GmbH
2019-10-10 17:43:09.382086|INFO    |DatabaseQuery |   |dbPlugin version: 3.11.1
2019-10-10 17:43:09.398073|INFO    |DatabaseQuery |   |checking database integrity (may take a while)
2019-10-10 17:43:09.787771|WARNING |Accounting    |   |Unable to open licensekey.dat, falling back to limited functionality
2019-10-10 17:43:10.109095|INFO    |Accounting    |   |Licensing Information
2019-10-10 17:43:10.109095|INFO    |Accounting    |   |licensed to       : Anonymous
2019-10-10 17:43:10.109095|INFO    |Accounting    |   |type              : No License
2019-10-10 17:43:10.109095|INFO    |Accounting    |   |starting date     : Tue Jan  1 00:00:00 2019
2019-10-10 17:43:10.109095|INFO    |Accounting    |   |ending date       : Fri Jan 31 00:00:00 2020
2019-10-10 17:43:10.109095|INFO    |Accounting    |   |max virtualservers: 1
2019-10-10 17:43:10.109095|INFO    |Accounting    |   |max slots         : 32
2019-10-10 17:43:12.219611|INFO    |              |   |Puzzle precompute time: 2032
2019-10-10 17:43:12.470974|INFO    |FileManager   |   |listening on 0.0.0.0:30033, [::]:30033
2019-10-10 17:43:12.833178|INFO    |Query         |   |listening for query on 0.0.0.0:10011, [::]:10011
2019-10-10 17:43:12.834177|INFO    |Query         |   |listening for query ssh on 0.0.0.0:10022, [::]:10022
2019-10-10 17:43:12.888134|INFO    |CIDRManager   |   |updated query_ip_whitelist ips: 127.0.0.1/32, ::1/128, 
2019-10-10 17:43:16.170583|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
